feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,celltype,neglogp,sig
Gcat,Null,0.009359751939359895,-0.013893333530400887,114937,0.4876203809766238,0.025916147249989255,0.5879851117118082,1.8518518518518516,4.329896907216495,Recruited macrophage,0.2306336704940436,FALSE
Galr3,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gm3924,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Ankrd54,Null,0.03942720195053564,-0.009295919800064383,115021,0.4879767510924441,0.16886929006268822,1,6.790123456790123,9.278350515463918,Recruited macrophage,-0,FALSE
Eif3l,Null,0.3973652194737544,-0.05032368787431313,109875.5,0.4661469602477621,0.059389261671109375,0.8571221783870211,58.230452674897116,62.68041237113402,Recruited macrophage,0.0669572672048115,FALSE
Micall1,Null,0.0667514700383681,-0.0037896544678958366,117098.5,0.496790547706928,0.7722066856244473,1,13.374485596707819,14.02061855670103,Recruited macrophage,-0,FALSE
1700088E04Rik,Null,0.0029020831643750745,8.60924633187861e-4,118095.5,0.5010203215816045,0.6577222333002892,1,0.6172839506172839,0.4123711340206186,Recruited macrophage,-0,FALSE
Polr2f,Null,0.5991548985727682,-0.020416520950955475,115341.5,0.48933647278435366,0.5615137033920916,1,72.42798353909465,74.43298969072166,Recruited macrophage,-0,FALSE
Sox10,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gm10863,Null,0.0030911621671225777,-5.344464408615305e-5,117853,0.49999151499724237,0.997982025235721,1,0.6172839506172839,0.6185567010309279,Recruited macrophage,-0,FALSE
Pick1,Null,0.047777886699057436,-0.020539279653344934,112415,0.47692079249925756,0.01985089547677167,0.5204519669910442,8.23045267489712,12.989690721649486,Recruited macrophage,0.2836193457563758,FALSE
Slc16a8,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Baiap2l2,Null,0,-0.0015567382962225777,117612,0.49896907216494846,0.31780890276417706,1,0,0.2061855670103093,Recruited macrophage,-0,FALSE
Pla2g6,Null,0.01212700640939902,-0.013991552737948703,115539.5,0.49017648805735864,0.13718642681912924,1,3.4979423868312756,5.360824742268041,Recruited macrophage,-0,FALSE
Gm20420,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Maff,Null,0.1544534366013195,0.0419570078509216,124105,0.5265156336175809,0.0510400306609448,0.8042105367928759,24.897119341563787,20.412371134020617,Recruited macrophage,0.09463024105526026,FALSE
Tmem184b,Null,0.11666175900093309,-0.029446740267206922,111577,0.4733655763438123,0.05547318425358508,0.8388042620205065,21.39917695473251,26.804123711340207,Recruited macrophage,0.07633937152180431,FALSE
Csnk1e,Null,0.19597383743863817,-0.07752132621649249,105510,0.44762632047855416,0.0010609803489253667,0.084370191264257,32.098765432098766,41.03092783505154,Recruited macrophage,1.073810966361358,FALSE
Gm16059,Null,0.003088394652031957,0.002362806732182233,118341,0.5020618556701031,0.3165620176049957,1,0.6172839506172839,0.2061855670103093,Recruited macrophage,-0,FALSE
Kcnj4,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Kdelr3,Null,8.213621838842484e-4,3.3014759435934975e-5,117855,0.5,1,1,0.205761316872428,0.2061855670103093,Recruited macrophage,-0,FALSE
