gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,padj,neglogp,sig
Nol6,0.6848259213414134,-0.02678455507530074,0.132,0.138,1,0.886687169282,0.052229575904657044,FALSE
Ndufaf8,0.6850840138888299,6.552109063554523e-4,0.63,0.63,1,0.8869528261994721,0.0520994781007123,FALSE
Sec24b,0.6851747679285682,-0.002607435148058057,0.315,0.304,1,0.8869976402465424,0.052077535556400455,FALSE
C230066G23Rik,0.6852244626865813,0.010945291734326353,0.028,0.024,1,0.8869976402465424,0.052077535556400455,FALSE
Irf2,0.6853131089480087,-0.026676022675328204,0.77,0.785,1,0.8870438866553298,0.052054892839367935,FALSE
Vps28,0.6853753629024271,-0.05237966725804366,0.817,0.783,1,0.8870559673361502,0.052048978208343984,FALSE
Sart3,0.6854945209399927,-0.03162775474254559,0.171,0.18,1,0.887141689314095,0.05200701154032515,FALSE
Brpf1,0.6855651706376718,-0.032156042272508234,0.281,0.287,1,0.8871601108693365,0.05199799348061406,FALSE
Rdh10,0.6856390445948555,0.007705537909233871,0.026,0.022,1,0.8871601108693365,0.05199799348061406,FALSE
Twsg1,0.6856675358735387,-0.025732736614045626,0.217,0.227,1,0.8871601108693365,0.05199799348061406,FALSE
Atg101,0.6858519647221188,0.025905439701238486,0.354,0.336,1,0.8872822771377162,0.05193819313243209,FALSE
Odr4,0.685879857116447,-0.04536160083343688,0.368,0.375,1,0.8872822771377162,0.05193819313243209,FALSE
Immp1l,0.6859207580927411,-0.021672043771990834,0.382,0.379,1,0.8872822771377162,0.05193819313243209,FALSE
Sdhd,0.6859775819045837,-0.03335594587246815,0.754,0.735,1,0.8872873082710573,0.051935730570844524,FALSE
Hacd1,0.6860581776484364,0.006834045137073875,0.03,0.026,1,0.8873230843937571,0.05191821982849935,FALSE
Stambp,0.6861699951810409,-0.0016587725921225482,0.26,0.239,1,0.8873509180121218,0.05190459705963946,FALSE
Nfxl1,0.6861855744704166,0.024807467115735893,0.187,0.176,1,0.8873509180121218,0.05190459705963946,FALSE
Mzt1,0.6863051086802565,-0.0017124453042211552,0.193,0.206,1,0.8874370309109357,0.05186245303130345,FALSE
Atp8b4,0.6864934661265383,0.001643184249298213,0.366,0.342,1,0.8875757162731347,0.05179458840583315,FALSE
Irak3,0.6865182652118597,-0.023134276307246793,0.254,0.237,1,0.8875757162731347,0.05179458840583315,FALSE
