gene,mean_est_amb,n,total_umis
Ldb2,1.613737961090408e-5,0,6685
Ldb3,7.396903584606775e-7,0,37
Ldc1,0,0,0
Ldha,3.2435030438959637e-4,0,110255
Ldhal6b,6.122970461840299e-8,0,38
Ldhb,1.7159454702103826e-5,0,6270
Ldhc,6.122970461840299e-8,0,16
Ldhd,1.0318482993712962e-6,0,342
Ldlr,3.635586782165411e-5,0,16891
Ldlrad1,3.7140485277203244e-7,0,91
Ldlrad2,6.122970461840299e-8,0,6
Ldlrad3,1.3177286964904516e-5,0,5530
Ldlrad4,1.4262756515017817e-5,0,5359
Ldlrap1,2.5151021078938047e-5,0,8701
Ldoc1,6.122970461840299e-8,0,5
Leap2,6.122970461840299e-8,0,6
Lect2,0,0,0
Lef1,6.116741027582082e-5,0,22026
Lef1os1,1.7240742277371253e-6,0,442
Lefty1,1.7386193291991555e-6,0,791
Lefty2,1.1222157884610816e-7,0,1
Lekr1,1.4973234324883983e-6,0,742
Lelp1,0,0,0
Lemd1,6.122970461840299e-8,0,2
Lemd2,2.9366409317344074e-5,0,9204
Lemd3,1.4395211833966262e-5,0,4037
Lenep,3.0372819744644937e-8,0,3
Leng1,1.3476178512771793e-5,0,5712
Leng8,5.5902859762071556e-5,0,12789
Leng9,1.7845572486631098e-5,0,4795
Leo1,2.193092877644558e-5,0,7614
Lep,0,0,0
Lepr,8.80827958030309e-6,0,3924
Leprot,6.446826402311436e-5,0,24748
Leprotl1,1.2423103526890833e-4,0,47250
Letm1,3.060622021971949e-5,0,11522
Letm2,1.6120152589334256e-5,0,7055
Letmd1,1.2662731854100686e-5,0,3689
Lexm,0,0,0
Lfng,4.2147158667956176e-5,0,14985
Lgals1,6.177711348451039e-4,0,231416
Lgals12,8.13646939723501e-8,0,1
Lgals2,2.764614574972883e-7,0,186
Lgals3,8.824910238168895e-4,0,353084
Lgals3bp,1.6490696654874874e-4,0,65440
Lgals4,2.952694604787274e-6,0,708
Lgals7,8.62030763495332e-7,0,351
Lgals8,4.540127951336216e-5,0,14422
Lgals9,6.374560986453196e-5,0,23320
Lgalsl,7.588110478337033e-6,0,3159
Lgi1,6.186677353671348e-7,0,49
Lgi2,4.993236460234823e-7,0,125
Lgi3,3.809231511824525e-6,0,2187
Lgi4,7.507320160686759e-7,0,244
Lgmn,1.274896778836322e-4,0,47644
Lgr4,4.0348228095366256e-7,0,173
Lgr5,4.7411634878819465e-7,0,126
Lgr6,1.7925972711624947e-7,0,51
Lgsn,0,0,0
Lhb,0,0,0
Lhcgr,1.282678528885443e-7,0,17
Lhfp,1.6642320402288598e-5,0,5412
Lhfpl1,6.122970461840299e-8,0,18
Lhfpl2,1.6548982530746255e-5,0,6321
Lhfpl3,1.1222157884610816e-7,0,64
Lhfpl4,2.764614574972883e-7,0,97
Lhfpl5,1.1222157884610816e-7,0,11
Lhpp,1.2139740534139748e-6,0,513
Lhx1,2.2457161347450744e-7,0,34
Lhx1os,6.122970461840299e-8,0,2
Lhx2,2.0942330922714696e-7,0,67
Lhx3,1.1222157884610816e-7,0,5
Lhx4,1.1222157884610816e-7,0,8
Lhx5,6.122970461840299e-8,0,9
Lhx6,3.231387569122056e-7,0,118
Lhx8,3.085688487375806e-8,0,1
Lhx9,6.122970461840299e-8,0,4
Lias,1.7127474335569555e-5,0,7939
Lif,1.966260046901184e-6,0,398
Lifr,1.7458357274323002e-5,0,8476
Lig1,2.0698207324590185e-5,0,6853
Lig3,1.3593925480452186e-5,0,3918
Lig4,3.1385946673828565e-6,0,1093
Lilr4b,3.934561370338006e-5,0,13140
Lilra5,1.7284288382555363e-5,0,7591
Lilra6,3.83847781158682e-6,0,1853
Lilrb4a,9.878179933845747e-5,0,32284
Lim2,2.764614574972883e-7,0,73
Lima1,3.67258300267929e-5,0,18209
Limch1,2.0725095188558955e-5,0,8172
Limd1,7.315400225558459e-5,0,25166
Limd2,2.860669083057273e-4,0,100634
Lime1,1.7925972711624947e-7,0,72
Limk1,6.0129880899627395e-6,0,2816
Limk2,1.219942724705854e-5,0,3771
Lims1,7.95431846988652e-5,0,32239
Lims2,1.2731225296884875e-5,0,4164
Lin28a,1.282678528885443e-7,0,28
Lin28b,6.122970461840299e-8,0,4
Lin37,2.09651321453413e-5,0,7099
Lin52,5.829254496124697e-6,0,1640
Lin54,1.0440112479395394e-5,0,4532
Lin7a,1.1222157884610816e-7,0,3
Lin7b,2.2457161347450744e-7,0,30
Lin7c,3.271903562667709e-5,0,10252
Lin9,1.0065163840072802e-5,0,4106
Lingo1,1.7925972711624947e-7,0,47
Lingo2,6.122970461840299e-8,0,2
Lingo3,6.122970461840299e-8,0,2
Lingo4,4.0348228095366256e-7,0,122
Lins1,3.1795504524373018e-6,0,1103
Lipa,1.0599475214295491e-4,0,44575
Lipc,4.8648066576831e-7,0,304
Lipe,1.3334089652668357e-5,0,5845
Lipf,8.355317235304972e-7,0,538
Lipg,1.7811178815610883e-6,0,728
Liph,6.662614744439776e-7,0,245
Lipi,3.085688487375806e-8,0,0
Lipk,3.085688487375806e-8,0,0
Lipm,3.0372819744644937e-8,0,1
Lipn,2.2457161347450744e-7,0,79
Lipo1,0,0,0
Lipo2,6.122970461840299e-8,0,23
Lipo3,9.864241519432152e-6,0,2837
Lipo4,0,0,0
Lipt1,1.5107923556728714e-6,0,469
Lipt2,3.253662632105781e-6,0,1103
Litaf,7.499677443769438e-5,0,27421
Lix1,1.4393402422514407e-6,0,554
Lix1l,4.310918416539672e-6,0,1587
Lkaaear1,3.085688487375806e-8,0,1
Llcfc1,0,0,0
Llgl1,9.06061711712465e-6,0,2847
Llgl2,4.355009677277642e-6,0,1250
Llph,1.2793386338809165e-4,0,45958
Lman1,4.520285318956986e-5,0,20478
Lman1l,1.7925972711624947e-7,0,23
Lman2,9.364072035835735e-5,0,36977
Lman2l,1.4752978463185326e-5,0,6422
Lmbr1,2.1374284655727487e-6,0,958
Lmbr1l,1.8330729420945298e-5,0,5232
Lmbrd1,5.563849527038513e-5,0,19149
Lmbrd2,1.3657396145211198e-5,0,4267
Lmcd1,1.3400044986060981e-6,0,730
Lmf1,1.1231751588373438e-5,0,3686
Lmf2,1.6000368469169333e-5,0,4996
Lmln,1.614107527958347e-6,0,657
Lmna,1.012530798294735e-4,0,33880
Lmnb1,4.302662682459312e-5,0,14261
Lmnb2,7.389681597757401e-6,0,1748
Lmntd1,1.9804895430165847e-6,0,749
Lmntd2,3.071785203676994e-7,0,145
Lmo1,2.3395141235783324e-6,0,1226
Lmo2,7.893318686747538e-5,0,25100
Lmo3,0,0,0
Lmo4,1.1677037735188301e-4,0,44292
Lmo7,9.567863031300951e-6,0,3371
Lmod1,6.54890650998856e-7,0,192
Lmod2,1.282678528885443e-7,0,11
Lmod3,1.7925972711624947e-7,0,19
Lmtk2,9.366925912526628e-6,0,3244
Lmtk3,8.476645635379835e-7,0,212
Lmx1a,0,0,0
Lmx1b,6.122970461840299e-8,0,5
Lncbate1,6.122970461840299e-8,0,2
Lncbate10,1.282678528885443e-7,0,2
Lncbate3,0,0,0
Lncbate6,3.231387569122056e-7,0,204
Lncenc1,0,0,0
Lncpint,2.641319914762218e-5,0,11181
Lncppara,1.1170181154079654e-6,0,315
Lnp1,0,0,0
Lnpep,1.1738742961150096e-4,0,42115
Lnpk,1.801203497727714e-5,0,7337
Lnx1,3.7140485277203244e-7,0,73
Lnx2,8.08792949482045e-6,0,2379
Lockd,2.095550570645421e-5,0,5867
Lonp1,1.5537026165887278e-5,0,5299
