"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lipa",2.54257389401165e-33,-0.274691827959613,0.975,0.996,3.62774443197582e-29
"Mpeg1",2.64166764916962e-33,-0.303784482800572,0.963,0.987,3.76913140183521e-29
"Cxcl14",2.7306420301435e-33,-0.490546543118346,0.353,0.532,3.89608004860875e-29
"Ncf4",3.15535623318158e-33,0.350782585107632,0.824,0.712,4.50206227350348e-29
"Nceh1",3.35905629790099e-33,-0.384613499354681,0.672,0.787,4.79270152584513e-29
"Rassf4",4.196970838372e-33,0.401007632113012,0.711,0.524,5.98823799218918e-29
"BC005537",1.31813506575017e-32,-0.315519703996011,0.973,0.991,1.88071511181235e-28
"Plau",2.45148899069906e-32,-0.39581129270646,0.252,0.443,3.49778449192942e-28
"Itgb5",3.05840478266012e-32,-0.371908385587144,0.44,0.616,4.36373194389946e-28
"Ckb",3.39480219049604e-32,-0.292259479686011,0.973,0.99,4.84370376539975e-28
"Gpx1",4.60505316288219e-32,0.2858523395192,0.998,0.996,6.57048985280031e-28
"Eid1",5.24603483018358e-32,-0.332436270428793,0.825,0.901,7.48504249570593e-28
"Eif5a",7.94003024588634e-32,0.285739218401572,0.99,0.982,1.13288351548306e-27
"Ehd4",1.06200119557238e-31,-0.336813768449782,0.77,0.857,1.51526330584267e-27
